SearchTeam,Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,RimFGA/100,RimFG%,FTA/100,FT%,FTARate%,USG%,REB/100,AST/100,AST%,BLK/100,BLK%,STL/100,STL%,TOV/100
Philadelphia 76ers,Philadelphia 76ers,Joel Embiid,Vet,4.7,-1.4,2.2,2.5,3.6,2.4,1.1,29,52.9%,6.2,34.9%,20.7%,5.8,72.8%,14.4,86.2%,54.2%,34.3%,14.5,7.3,25.5%,2.1,2.3%,1.6,1.6%,5.5
Philadelphia 76ers,Philadelphia 76ers,Paul George,Vet,3.2,-1.2,1.5,1.7,3,1,2,22.7,51.3%,10.5,38.8%,48.1%,2.4,67.2%,4.7,87.0%,22.2%,25.2%,8.4,6.8,22.1%,0.7,0.7%,2.3,2.5%,3.6
Philadelphia 76ers,Philadelphia 76ers,Tyrese Maxey,Vet,2.1,0.8,3,-0.9,2.7,3.1,-0.4,26.6,52.6%,12.4,37.3%,44.8%,6.5,63.1%,7.1,87.8%,25.7%,28.8%,4.8,8.6,29.0%,0.5,0.5%,1.9,1.9%,3.1
Philadelphia 76ers,Philadelphia 76ers,Kelly Oubre Jr.,Vet,0.1,1,-0.3,0.4,0.2,-0.4,0.5,17.1,54.0%,5.5,34.9%,33.5%,5.6,66.7%,4.6,75.1%,25.3%,17.9%,9.2,3,8.8%,0.8,0.9%,2.1,2.0%,2
Philadelphia 76ers,Philadelphia 76ers,Andre Drummond,Vet,-0.1,-0.7,-1.5,1.4,0.1,-1.2,1.3,15,54.8%,1,18.7%,5.8%,9.2,63.0%,5,55.8%,34.7%,18.2%,21.4,1.9,5.1%,1.5,1.6%,2.7,2.7%,3.6
Philadelphia 76ers,Philadelphia 76ers,Kenyon Martin Jr.,Vet,-0.5,1,-1.3,0.8,-2,-2.8,0.7,11,61.5%,3,33.4%,19.3%,6.4,71.3%,3,67.8%,25.6%,12.8%,8.4,2.5,7.2%,1.2,1.4%,1.3,1.3%,1.6
Philadelphia 76ers,Philadelphia 76ers,Guerschon Yabusele,Vet,-0.7,,-0.6,-0.1,-0.5,-0.5,0.1,13.9,59.1%,7.4,36.8%,49.8%,4.1,69.9%,3.4,71.7%,24.7%,16.2%,10.5,3.9,11.3%,0.9,1.0%,1.3,1.3%,2.3
Philadelphia 76ers,Philadelphia 76ers,Ricky Council IV,Sophomore,-1.3,0.7,-0.4,-0.8,-1,-0.4,-0.6,18.5,51.1%,7.8,33.7%,41.7%,5.2,64.3%,6.5,79.1%,39.1%,20.3%,7.8,3.5,10.5%,0.5,0.6%,1.5,1.4%,2.1
Philadelphia 76ers,Philadelphia 76ers,Eric Gordon,Vet,-1.4,-0.5,-1.1,-0.3,0.7,0,0.6,12.4,51.6%,9.5,36.0%,75.1%,1.8,65.5%,1.8,80.4%,13.2%,13.1%,3.6,3.8,10.7%,0.7,0.7%,1.5,1.5%,1.6
Philadelphia 76ers,Philadelphia 76ers,Justin Edwards,Rookie,-1.5,,-1.4,0,-1.4,-1.4,0.1,13.7,53.4%,8.2,33.5%,58.4%,2.7,66.9%,2,71.9%,15.9%,14.6%,7,2.5,7.0%,0.7,0.8%,1.6,1.7%,1.7
