SearchTeam,Player,Team,Experience,Minutes,Pace,PTS,AST,DREB,OREB,BLK,STL,TOV,FGA,FTA,FG3A,RimFGA,PF
Charlotte Hornets,LaMelo Ball,Charlotte Hornets,Vet,34.4,99.7,27.6,7.8,4.4,1,0.3,1.5,3.7,21.1,5.5,11.1,3.4,3.2
Charlotte Hornets,Miles Bridges,Charlotte Hornets,Vet,33,98.9,19.6,3.7,5.9,1,0.5,0.8,2.2,15.6,3.4,6.4,4.3,1.7
Charlotte Hornets,Nick Smith Jr.,Charlotte Hornets,Sophomore,25.4,97.7,10.8,2.4,2.4,0.4,0.2,0.6,1.2,9.9,0.6,5.6,0.6,1.4
Charlotte Hornets,Josh Green,Charlotte Hornets,Vet,28,97.7,7.6,1.5,2,1,0.2,1,0.8,6,0.9,3.7,1.2,2.4
Charlotte Hornets,Josh Okogie,Charlotte Hornets,Vet,17.8,94.7,6.7,1.1,2.1,1.2,0.5,1,0.7,5.2,1.7,2.2,1.7,1.6
Charlotte Hornets,Vasilije Micic,Charlotte Hornets,Sophomore,19.2,94.1,6.7,3.4,1.4,0.4,0,0.5,1.5,6.2,1,3.1,1,1.2
Charlotte Hornets,Seth Curry,Charlotte Hornets,Vet,14,95.7,5.7,0.7,1,0.3,0.1,0.4,0.4,4.5,0.5,2.5,0.2,1.1
Charlotte Hornets,Moussa Diabate,Charlotte Hornets,Vet,19.1,93.8,4.8,0.9,3.5,2.3,0.7,0.7,0.8,3.3,1.3,0.2,2.3,1.7
Charlotte Hornets,DaQuan Jeffries,Charlotte Hornets,Vet,12.9,94.6,4.2,0.7,1.6,0.5,0.2,0.4,0.4,3.6,0.3,2.1,0.7,1.3
Charlotte Hornets,Mark Williams,Charlotte Hornets,Vet,4.3,97.9,2.6,0.4,1,0.5,0.2,0.1,0.3,1.7,0.7,0.1,1.2,0.4
Charlotte Hornets,Isaiah Wong,Charlotte Hornets,Sophomore,6,94.5,2.6,0.7,0.5,0.3,0,0.2,0.4,2.2,0.7,0.8,0.5,0.5
Charlotte Hornets,Taj Gibson,Charlotte Hornets,Vet,5.6,96.9,1.3,0.3,0.8,0.5,0.2,0.2,0.3,1.1,0.2,0.1,0.5,0.9
Charlotte Hornets,Grant Williams,Charlotte Hornets,Vet,0,96.9,0,0,0,0,0,0,0,0,0,0,0,0
