SearchTeam,Season,Team,Lineup,Offense,Defense,Net,Season Possessions,Total Possessions
Charlotte Hornets,2024,Charlotte Hornets,Vasilije Micic | Miles Bridges | Grant Williams | Tre Mann | Brandon Miller,-1.2,-2.3,-3.4,457,457
Charlotte Hornets,2024,Charlotte Hornets,Vasilije Micic | Miles Bridges | Nick Richards | Tre Mann | Brandon Miller,-2,-1.9,-3.9,431,431
Charlotte Hornets,2024,Charlotte Hornets,Miles Bridges | Cody Martin | Nick Richards | Tre Mann | Brandon Miller,-3.5,0.7,-2.8,410,410
Charlotte Hornets,2024,Charlotte Hornets,Gordon Hayward | Terry Rozier | Miles Bridges | Nick Richards | Brandon Miller,1.6,-1.2,0.4,337,337
Charlotte Hornets,2024,Charlotte Hornets,Gordon Hayward | P.J. Washington | LaMelo Ball | Mark Williams | Brandon Miller,0,-0.8,-0.9,320,320
Charlotte Hornets,2024,Charlotte Hornets,Vasilije Micic | Miles Bridges | Grant Williams | Aleksej Pokusevski | Brandon Miller,-0.9,0.4,-0.5,286,286
Charlotte Hornets,2024,Charlotte Hornets,Davis Bertans | Grant Williams | Nick Richards | Tre Mann | Brandon Miller,-4.2,-0.2,-4.4,275,275
Charlotte Hornets,2024,Charlotte Hornets,Gordon Hayward | Terry Rozier | P.J. Washington | LaMelo Ball | Mark Williams,0.6,-4.7,-4.1,262,614
Charlotte Hornets,2024,Charlotte Hornets,Terry Rozier | Miles Bridges | Nick Richards | Bryce McGowens | Brandon Miller,-0.1,-2.4,-2.5,244,244
Charlotte Hornets,2024,Charlotte Hornets,Gordon Hayward | Miles Bridges | LaMelo Ball | Mark Williams | Brandon Miller,0.9,1.3,2.2,213,213
Charlotte Hornets,2024,Charlotte Hornets,Seth Curry | Grant Williams | Nick Richards | Tre Mann | Brandon Miller,-3.7,3,-0.7,179,179
Charlotte Hornets,2024,Charlotte Hornets,Gordon Hayward | Terry Rozier | Miles Bridges | Mark Williams | Brandon Miller,-2.7,-0.4,-3.1,173,173
Charlotte Hornets,2024,Charlotte Hornets,Vasilije Micic | Miles Bridges | Grant Williams | Nick Richards | Brandon Miller,-2.3,-2.3,-4.6,163,163
Charlotte Hornets,2024,Charlotte Hornets,Miles Bridges | Cody Martin | P.J. Washington | Nick Richards | Brandon Miller,-0.9,-1.4,-2.3,152,152
Charlotte Hornets,2024,Charlotte Hornets,Ish Smith | Miles Bridges | P.J. Washington | Nick Richards | Brandon Miller,0.8,-0.7,0,143,143
Charlotte Hornets,2024,Charlotte Hornets,Miles Bridges | Cody Martin | Nick Richards | Bryce McGowens | Brandon Miller,-2.3,-2.2,-4.6,142,142
Charlotte Hornets,2024,Charlotte Hornets,Davis Bertans | Miles Bridges | Grant Williams | Aleksej Pokusevski | Tre Mann,-2.4,-0.5,-2.9,137,137
Charlotte Hornets,2024,Charlotte Hornets,Davis Bertans | Vasilije Micic | Miles Bridges | Aleksej Pokusevski | Nick Richards,0.7,-0.6,0.1,131,131
Charlotte Hornets,2024,Charlotte Hornets,Gordon Hayward | Terry Rozier | P.J. Washington | Mark Williams | Brandon Miller,0.7,-1.5,-0.9,130,130
Charlotte Hornets,2024,Charlotte Hornets,Terry Rozier | Miles Bridges | P.J. Washington | LaMelo Ball | Brandon Miller,0.5,0,0.5,128,128
Charlotte Hornets,2024,Charlotte Hornets,Davis Bertans | Vasilije Micic | Miles Bridges | Grant Williams | Aleksej Pokusevski,-1.7,-3.1,-4.8,127,127
Charlotte Hornets,2024,Charlotte Hornets,P.J. Washington | LaMelo Ball | Theo Maledon | Nick Richards | Brandon Miller,-1.6,0.3,-1.3,127,127
Charlotte Hornets,2024,Charlotte Hornets,Ish Smith | Miles Bridges | Nick Richards | Bryce McGowens | Brandon Miller,-3.4,-2.2,-5.6,126,126
Charlotte Hornets,2024,Charlotte Hornets,Seth Curry | Vasilije Micic | Miles Bridges | Grant Williams | Tre Mann,0.5,0,0.6,125,125
Charlotte Hornets,2024,Charlotte Hornets,Gordon Hayward | Terry Rozier | JT Thor | Mark Williams | Brandon Miller,-1.6,1.3,-0.3,120,120
Charlotte Hornets,2024,Charlotte Hornets,Seth Curry | Vasilije Micic | Miles Bridges | Grant Williams | Brandon Miller,-0.3,-0.4,-0.7,113,113
Charlotte Hornets,2024,Charlotte Hornets,Davis Bertans | Vasilije Micic | Miles Bridges | Cody Martin | Grant Williams,-2.6,1.3,-1.2,109,109
Charlotte Hornets,2024,Charlotte Hornets,Miles Bridges | Cody Martin | Nick Richards | Brandon Miller | Leaky Black,1.8,-0.4,1.4,109,109
Charlotte Hornets,2024,Charlotte Hornets,Davis Bertans | Grant Williams | Tre Mann | JT Thor | Brandon Miller,-1.9,-0.4,-2.2,105,105
Charlotte Hornets,2024,Charlotte Hornets,Miles Bridges | Cody Martin | LaMelo Ball | Nick Richards | Brandon Miller,-0.4,-1.7,-2.1,104,104
Charlotte Hornets,2024,Charlotte Hornets,James Bouknight | JT Thor | Bryce McGowens | Nick Smith Jr. | Nathan Mensah,0,2,1.9,103,103
Charlotte Hornets,2024,Charlotte Hornets,Terry Rozier | Miles Bridges | Cody Martin | LaMelo Ball | Nick Richards,-2,0.5,-1.5,84,105
Charlotte Hornets,2024,Charlotte Hornets,Gordon Hayward | Terry Rozier | LaMelo Ball | JT Thor | Mark Williams,-0.1,1.9,1.8,20,173
Charlotte Hornets,2024,Charlotte Hornets,Gordon Hayward | Terry Rozier | Miles Bridges | P.J. Washington | LaMelo Ball,-0.3,-2.7,-3.1,5,582
Charlotte Hornets,2024,Charlotte Hornets,Terry Rozier | Miles Bridges | Cody Martin | P.J. Washington | LaMelo Ball,2.4,-2.4,0,2,512
Cleveland Cavaliers,2024,Cleveland Cavaliers,Donovan Mitchell | Jarrett Allen | Max Strus | Darius Garland | Evan Mobley,-0.9,1.7,0.8,1746,1746
Cleveland Cavaliers,2024,Cleveland Cavaliers,Donovan Mitchell | Jarrett Allen | Max Strus | Dean Wade | Isaac Okoro,5.5,4,9.5,958,958
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Georges Niang | Jarrett Allen | Darius Garland | Isaac Okoro,2.9,-3,-0.1,615,615
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Georges Niang | Darius Garland | Isaac Okoro | Evan Mobley,0.2,3.3,3.5,564,564
Cleveland Cavaliers,2024,Cleveland Cavaliers,Donovan Mitchell | Max Strus | Darius Garland | Isaac Okoro | Evan Mobley,-0.7,1.7,1,470,470
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Donovan Mitchell | Jarrett Allen | Max Strus | Isaac Okoro,0.9,0.3,1.2,389,389
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Georges Niang | Donovan Mitchell | Jarrett Allen | Isaac Okoro,3.4,0.6,4,274,274
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Jarrett Allen | Max Strus | Darius Garland | Evan Mobley,-2.4,0.6,-1.8,245,245
Cleveland Cavaliers,2024,Cleveland Cavaliers,Jarrett Allen | Max Strus | Darius Garland | Isaac Okoro | Evan Mobley,0.7,-0.1,0.6,245,245
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Donovan Mitchell | Max Strus | Darius Garland | Evan Mobley,-0.6,2.8,2.2,231,231
Cleveland Cavaliers,2024,Cleveland Cavaliers,Jarrett Allen | Max Strus | Dean Wade | Isaac Okoro | Craig Porter,1.9,-0.4,1.5,229,229
Cleveland Cavaliers,2024,Cleveland Cavaliers,Donovan Mitchell | Jarrett Allen | Max Strus | Darius Garland | Dean Wade,1.1,1.9,3,227,227
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Georges Niang | Donovan Mitchell | Jarrett Allen | Max Strus,3.9,0.7,4.6,225,225
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Donovan Mitchell | Jarrett Allen | Max Strus | Dean Wade,2.2,3.1,5.3,224,224
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Georges Niang | Donovan Mitchell | Max Strus | Evan Mobley,1.4,-1.2,0.1,198,198
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Donovan Mitchell | Jarrett Allen | Max Strus | Darius Garland,1.5,1.1,2.6,182,182
Cleveland Cavaliers,2024,Cleveland Cavaliers,Jarrett Allen | Max Strus | Darius Garland | Dean Wade | Evan Mobley,-2.3,1,-1.3,181,181
Cleveland Cavaliers,2024,Cleveland Cavaliers,Tristan Thompson | Caris LeVert | Georges Niang | Sam Merrill | Craig Porter,4,0.3,4.3,179,179
Cleveland Cavaliers,2024,Cleveland Cavaliers,Caris LeVert | Donovan Mitchell | Jarrett Allen | Dean Wade | Isaac Okoro,-2.4,-0.7,-3.1,178,239
Cleveland Cavaliers,2024,Cleveland Cavaliers,Tristan Thompson | Caris LeVert | Georges Niang | Max Strus | Sam Merrill,-0.6,-0.5,-1.1,170,170
