SearchTeam,Season,Team,Lineup,Offense,Defense,Net,Season Possessions,Total Possessions
Philadelphia 76ers,2024,Philadelphia 76ers,Nicolas Batum | Tobias Harris | Joel Embiid | De'Anthony Melton | Tyrese Maxey,10.3,3.1,13.4,923,923
Philadelphia 76ers,2024,Philadelphia 76ers,Nicolas Batum | Tobias Harris | Joel Embiid | Kelly Oubre Jr. | Tyrese Maxey,3,-1.2,1.8,655,655
Philadelphia 76ers,2024,Philadelphia 76ers,Kyle Lowry | Tobias Harris | Joel Embiid | Kelly Oubre Jr. | Tyrese Maxey,4.4,1.7,6.1,492,492
Philadelphia 76ers,2024,Philadelphia 76ers,Tobias Harris | Joel Embiid | Kelly Oubre Jr. | De'Anthony Melton | Tyrese Maxey,0.3,-1.3,-1,471,471
Philadelphia 76ers,2024,Philadelphia 76ers,Kyle Lowry | Tobias Harris | Kelly Oubre Jr. | Mo Bamba | Tyrese Maxey,-2.4,-0.5,-2.9,392,392
Philadelphia 76ers,2024,Philadelphia 76ers,Tobias Harris | Kelly Oubre Jr. | De'Anthony Melton | Tyrese Maxey | Paul Reed,3.5,-0.3,3.2,303,303
Philadelphia 76ers,2024,Philadelphia 76ers,Tobias Harris | Robert Covington | Joel Embiid | De'Anthony Melton | Tyrese Maxey,0.4,-2.2,-1.8,274,274
Philadelphia 76ers,2024,Philadelphia 76ers,Kyle Lowry | Nicolas Batum | Joel Embiid | Kelly Oubre Jr. | Tyrese Maxey,1.6,-0.8,0.8,244,244
Philadelphia 76ers,2024,Philadelphia 76ers,Nicolas Batum | Tobias Harris | Buddy Hield | Tyrese Maxey | Paul Reed,-3.8,-0.1,-3.9,217,217
Philadelphia 76ers,2024,Philadelphia 76ers,Tobias Harris | Kelly Oubre Jr. | Buddy Hield | Tyrese Maxey | Paul Reed,-1.2,-0.5,-1.7,215,215
Philadelphia 76ers,2024,Philadelphia 76ers,P.J. Tucker | Tobias Harris | Joel Embiid | De'Anthony Melton | Tyrese Maxey,2.9,3.1,6.1,202,644
Philadelphia 76ers,2024,Philadelphia 76ers,Kelly Oubre Jr. | Buddy Hield | Tyrese Maxey | Paul Reed | Kenyon Martin Jr.,0.4,-1.5,-1.1,183,183
Philadelphia 76ers,2024,Philadelphia 76ers,Kyle Lowry | Nicolas Batum | Kelly Oubre Jr. | Mo Bamba | Tyrese Maxey,-1.9,2.4,0.5,158,158
