SearchTeam,Player,Team,Experience,Minutes,Pace,PTS,AST,DREB,OREB,BLK,STL,TOV,FGA,FTA,FG3A,RimFGA,PF
Brooklyn Nets,Cameron Johnson,Brooklyn Nets,Vet,29.5,96.3,17.4,2.7,3.2,0.7,0.3,0.9,1.4,12.6,3,7.2,2.2,1.7
Brooklyn Nets,D'Angelo Russell,Brooklyn Nets,Vet,26.3,96.3,13.4,5.7,2.5,0.3,0.2,0.8,2,10.7,2.1,5.7,1.4,1.6
Brooklyn Nets,Noah Clowney,Brooklyn Nets,Sophomore,27.1,96.1,11.1,1.3,3.5,1.1,0.5,0.6,1,8.8,1.7,6.1,1.5,2.2
Brooklyn Nets,Nicolas Claxton,Brooklyn Nets,Vet,26.7,95.8,10.3,1.9,5.7,2.2,1.4,0.8,1.2,8.1,2.7,0.4,4.2,2
Brooklyn Nets,Tyrese Martin,Brooklyn Nets,Vet,21.9,96.3,9.1,2,2.7,1,0.2,0.6,1.3,7.9,1.1,4.6,1.2,1.2
Brooklyn Nets,Jalen Wilson,Brooklyn Nets,Sophomore,25,94.7,9,1.6,2.3,1,0.1,0.5,0.8,7.8,1.5,4.2,1.4,2
Brooklyn Nets,Keon Johnson,Brooklyn Nets,Vet,19.6,97,8.9,1.8,2.1,0.5,0.2,0.8,1.3,7.8,1.4,3.8,1.8,1.9
Brooklyn Nets,Day'Ron Sharpe,Brooklyn Nets,Vet,17.5,95.1,8,1.6,3.6,2.4,0.6,0.5,1.2,6.4,2,0.9,3.5,2.1
Brooklyn Nets,Tosan Evbuomwan,Brooklyn Nets,Sophomore,20,94.4,8,1.1,2.5,0.9,0.3,0.5,1,5.8,1.9,2.2,1.7,1.7
Brooklyn Nets,Reece Beekman,Brooklyn Nets,Rookie,5.2,96.1,1.7,0.7,0.4,0.1,0.1,0.2,0.4,1.4,0.3,0.6,0.5,0.4
Brooklyn Nets,Ben Simmons,Brooklyn Nets,Vet,2,96.3,0.5,0.6,0.4,0.1,0,0.1,0.2,0.4,0.1,0,0.2,0.2
Brooklyn Nets,De'Anthony Melton,Brooklyn Nets,Vet,0,97.9,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Cam Thomas,Brooklyn Nets,Vet,0,95.9,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Ziaire Williams,Brooklyn Nets,Vet,0,96.4,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Dariq Whitehead,Brooklyn Nets,Sophomore,0,98.5,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Trendon Watford,Brooklyn Nets,Vet,0,96.5,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Maxwell Lewis,Brooklyn Nets,Sophomore,0,97.4,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Bojan Bogdanovic,Brooklyn Nets,Vet,0,97,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,RJ Barrett,Toronto Raptors,Vet,33.7,100.6,22.4,6,5.3,1.1,0.4,0.7,3,17.4,5.7,5.6,6.6,2.4
Toronto Raptors,Scottie Barnes,Toronto Raptors,Vet,35.5,99.7,20.9,7,6.3,1.8,1.1,1.4,2.8,17.4,4.3,4.8,3.5,2
Toronto Raptors,Gradey Dick,Toronto Raptors,Sophomore,29.5,100.2,14.9,2.2,2.6,0.7,0.1,0.8,1.5,12.5,2.5,6.3,2.6,2
Toronto Raptors,Jakob Poeltl,Toronto Raptors,Vet,30.4,99,13.4,2.7,6.6,3.6,1.3,1,1.7,10,2.4,0.4,5,2.9
Toronto Raptors,Chris Boucher,Toronto Raptors,Vet,16.6,96.5,9.1,0.8,3,1.3,0.6,0.5,0.5,6.8,1.7,3.6,2.1,1.4
Toronto Raptors,Bruce Brown,Toronto Raptors,Vet,21.4,95.9,8.8,1.8,2.4,0.8,0.2,0.7,1,7.2,1.7,2.2,2.3,1.8
Toronto Raptors,Kelly Olynyk,Toronto Raptors,Vet,16.7,98.6,7.2,2.6,2.8,1.1,0.3,0.7,1.2,5,1.9,1.9,1.8,2.3
Toronto Raptors,Davion Mitchell,Toronto Raptors,Vet,25.3,98.4,6.7,4.2,1.8,0.5,0.2,0.7,1.4,5.6,0.8,2.8,1.4,2.3
Toronto Raptors,Jamal Shead,Toronto Raptors,Rookie,17.8,96.8,6.3,3.6,1.1,0.4,0.1,0.7,1.3,5.4,0.7,2.6,0.8,1.7
Toronto Raptors,Jonathan Mogbo,Toronto Raptors,Rookie,14.1,98.3,4.7,1.2,2.1,1.5,0.4,0.5,0.7,3.8,1.1,0.8,1.9,1.7
Toronto Raptors,Jamison Battle,Toronto Raptors,Rookie,7.3,97.7,3.1,0.6,0.8,0.3,0.1,0.2,0.3,2.5,0.3,1.9,0.2,0.6
Toronto Raptors,Orlando Robinson,Toronto Raptors,Vet,3.9,97.6,1.4,0.4,0.7,0.3,0.1,0.1,0.2,1.1,0.4,0.3,0.4,0.5
Toronto Raptors,Garrett Temple,Toronto Raptors,Vet,3.1,97.4,0.7,0.3,0.3,0.1,0,0.1,0.1,0.6,0.1,0.4,0.1,0.3
Toronto Raptors,Immanuel Quickley,Toronto Raptors,Vet,0,97.5,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,AJ Lawson,Toronto Raptors,Vet,0,97,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,Ochai Agbaji,Toronto Raptors,Vet,0,100.1,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,Ja'Kobe Walter,Toronto Raptors,Rookie,0,99.1,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,Ulrich Chomche,Toronto Raptors,Rookie,0,96.3,0,0,0,0,0,0,0,0,0,0,0,0
Miami Heat,Tyler Herro,Miami Heat,Vet,34.7,96.4,22.7,5.3,5,0.4,0.1,0.7,2.2,16.7,3.5,9,2.2,1.3
Miami Heat,Bam Adebayo,Miami Heat,Vet,31.2,95.9,15.8,4.3,7.1,2.1,0.8,1.2,2,12.4,3.7,2.1,3.1,2
Miami Heat,Jimmy Butler,Miami Heat,Vet,30,95.7,15.3,4.5,3.1,1.8,0.3,1.3,1.3,10.3,5.3,1.5,3.7,1.1
Miami Heat,Terry Rozier,Miami Heat,Vet,25.6,97.3,11.6,2.9,3,0.5,0.2,0.8,1.1,9.6,1.7,4.4,1.5,1.4
Miami Heat,Nikola Jovic,Miami Heat,Vet,25,96.9,11.1,3.1,3.7,0.6,0.3,0.8,1.4,8.4,2,4.9,1.9,1.7
Miami Heat,Duncan Robinson,Miami Heat,Vet,24.3,96.3,10.6,2.7,2.2,0.3,0.1,0.6,1.2,8.6,0.7,6.3,1,2
Miami Heat,Kel'el Ware,Miami Heat,Rookie,21.3,97.4,10.6,0.9,4.4,1.7,1.3,0.6,1,7.8,1.9,2.2,3.2,2
Miami Heat,Jaime Jaquez Jr.,Miami Heat,Sophomore,22.2,97.1,9.3,2.5,2.9,1,0.2,1,1.3,7.1,2,2.1,2,1.6
Miami Heat,Haywood Highsmith,Miami Heat,Vet,19.4,96.1,5.6,1,2,0.8,0.4,0.7,0.5,4.4,0.4,2.7,0.8,1.6
Miami Heat,Pelle Larsson,Miami Heat,Rookie,2.5,97.9,0.9,0.2,0.2,0.1,0,0.1,0.1,0.7,0.2,0.3,0.2,0.3
Miami Heat,Josh Christopher,Miami Heat,Vet,1.6,98.9,0.7,0.2,0.1,0.1,0,0.1,0.1,0.7,0.1,0.1,0.2,0.1
Miami Heat,Alec Burks,Miami Heat,Vet,0,96.4,0,0,0,0,0,0,0,0,0,0,0,0
Miami Heat,Kevin Love,Miami Heat,Vet,0,99.8,0,0,0,0,0,0,0,0,0,0,0,0
Miami Heat,Dru Smith,Miami Heat,Vet,0,97.9,0,0,0,0,0,0,0,0,0,0,0,0
Miami Heat,Keshad Johnson,Miami Heat,Rookie,0,97.1,0,0,0,0,0,0,0,0,0,0,0,0
Miami Heat,Isaiah Stevens,Miami Heat,,0,98,0,0,0,0,0,0,0,0,0,0,0,0
Miami Heat,Josh Richardson,Miami Heat,Vet,0,97.1,0,0,0,0,0,0,0,0,0,0,0,0
