SearchTeam,Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,RimFGA/100,RimFG%,FTA/100,FT%,FTARate%,USG%,REB/100,AST/100,AST%,BLK/100,BLK%,STL/100,STL%,TOV/100
Charlotte Hornets,Charlotte Hornets,LaMelo Ball,Vet,1.6,0.5,2.4,-0.7,1.6,2.5,-0.9,29.6,49.6%,15.5,35.8%,50.4%,4.7,60.7%,7.7,83.6%,23.3%,33.2%,7.5,10.9,40.4%,0.5,0.5%,2.1,2.2%,5.2
Charlotte Hornets,Charlotte Hornets,Josh Okogie,Vet,1.1,0,-0.3,1.4,0.5,-0.9,1.4,14.9,51.3%,6.3,34.8%,42.5%,4.9,60.6%,4.8,73.0%,34.6%,17.4%,9.3,3.1,8.7%,1.4,1.6%,2.8,2.7%,2.1
Charlotte Hornets,Charlotte Hornets,Moussa Diabate,Vet,0.1,1.7,-0.8,0.9,-0.2,-0.8,0.7,8.8,59.9%,0.6,15.7%,3.4%,6.1,68.8%,3.4,63.1%,37.1%,11.1%,15.6,2.4,6.3%,2,2.2%,1.9,1.9%,2.1
Charlotte Hornets,Charlotte Hornets,Grant Williams,Vet,-0.2,0.5,-0.2,0,-0.9,-0.6,-0.3,15.5,53.3%,8,37.4%,51.4%,2.7,72.0%,4,75.4%,26.8%,19.7%,8.3,4.7,13.7%,1.1,1.2%,1.3,1.3%,2.6
Charlotte Hornets,Charlotte Hornets,Miles Bridges,Vet,-0.3,-1.6,0.7,-0.9,0.4,1.7,-1.3,23,54.3%,9.4,37.2%,41.4%,6.3,69.3%,5,84.8%,20.7%,25.1%,10.2,5.4,17.3%,0.8,0.9%,1.2,1.2%,3.2
Charlotte Hornets,Charlotte Hornets,Mark Williams,Vet,-0.4,0.9,0.5,-0.9,0,1,-1,19.5,65.9%,0.6,18.3%,3.6%,13.8,72.7%,8.2,76.9%,40.6%,23.1%,17.9,4.4,14.6%,2.3,2.6%,1.5,1.4%,3
Charlotte Hornets,Charlotte Hornets,Josh Green,Vet,-0.7,0.3,-1.3,0.6,-0.5,-1.2,0.7,10.5,54.8%,6.5,39.1%,61.3%,2.1,68.9%,1.6,73.2%,16.9%,11.0%,5.4,2.7,7.2%,0.4,0.4%,1.8,1.8%,1.4
Charlotte Hornets,Charlotte Hornets,Cody Martin,Vet,-0.7,-0.7,-1.8,1.1,-1.2,-2.5,1.4,15.2,49.7%,5.6,32.8%,40.0%,3.7,66.7%,2.4,69.5%,17.3%,16.3%,8.4,5.2,15.4%,1,1.2%,2.2,2.2%,2.2
Charlotte Hornets,Charlotte Hornets,Seth Curry,Vet,-1.3,0.2,-0.9,-0.3,-0.9,-0.5,-0.4,16.2,51.8%,9.1,41.4%,55.5%,0.8,64.5%,1.7,84.7%,11.3%,15.7%,4.9,2.7,8.1%,0.4,0.5%,1.5,1.5%,1.5
Charlotte Hornets,Charlotte Hornets,DaQuan Jeffries,Vet,-1.5,0.3,-1.3,-0.2,-1.4,-1.2,-0.1,14,53.7%,8.4,34.9%,59.2%,2.8,65.2%,1.3,74.1%,12.4%,14.6%,8.1,2.6,7.3%,0.9,1.0%,1.6,1.6%,1.5
Charlotte Hornets,Charlotte Hornets,Tre Mann,Vet,-1.6,0.1,-1,-0.7,-0.8,-0.9,0,24.1,47.3%,8.8,35.4%,38.8%,5.4,59.9%,3.9,79.0%,18.2%,25.1%,6.4,8,25.9%,0.4,0.4%,2.1,2.1%,3.6
Charlotte Hornets,Charlotte Hornets,Brandon Miller,Sophomore,-1.7,1,-0.4,-1.3,-1,0.1,-1.2,26,47.6%,14.5,35.8%,56.3%,2.9,67.2%,4.9,82.6%,17.3%,27.8%,6.8,5.5,18.4%,0.9,1.0%,1.6,1.5%,3.8
Charlotte Hornets,Charlotte Hornets,Tidjane Salaün,Rookie,-2.4,,-2.4,0,-2.2,-2.3,0.1,15.3,47.5%,7.9,31.3%,55.4%,2.9,64.1%,3,68.2%,21.8%,16.4%,10.7,3.4,10.2%,0.6,0.7%,1.6,1.6%,2.2
Charlotte Hornets,Charlotte Hornets,KJ Simpson,Rookie,-2.6,,-2.2,-0.4,-2.5,-2.2,-0.4,18.5,47.9%,8,33.4%,45.8%,3.8,58.8%,4.4,75.0%,21.1%,18.8%,5.6,6.9,20.7%,0.2,0.2%,2.5,2.5%,3.3
Charlotte Hornets,Charlotte Hornets,Isaiah Wong,Sophomore,-2.7,0,-1.6,-1.1,-2.7,-1.6,-1.1,19,46.1%,6.8,31.6%,36.3%,4.3,60.1%,5.8,73.0%,30.8%,20.6%,6.9,5.7,20.8%,0.2,0.3%,1.9,2.0%,3.3
Charlotte Hornets,Charlotte Hornets,Vasilije Micic,Sophomore,-3,-1.8,-1.8,-1.2,-3,-1.7,-1.3,16.5,47.8%,8.3,34.4%,50.0%,2.6,62.5%,2.6,81.3%,16.2%,18.3%,4.9,9,27.6%,0.1,0.1%,1.4,1.4%,3.9
Charlotte Hornets,Charlotte Hornets,Nick Smith Jr.,Sophomore,-3.3,-1.4,-2,-1.4,-3.4,-1.8,-1.6,19.2,46.8%,10.9,37.0%,56.6%,1.2,61.5%,1.2,80.9%,7.3%,19.4%,5.3,4.6,14.8%,0.4,0.5%,1.2,1.2%,2.4
Charlotte Hornets,Charlotte Hornets,Taj Gibson,Vet,-3.4,-1.8,-4.2,0.7,-2.6,-3.1,0.5,9.4,50.4%,0.7,27.6%,5.0%,4.1,65.7%,2,68.3%,17.2%,11.4%,11.8,2.6,7.5%,1.8,1.8%,1.5,1.5%,2.2
Cleveland Cavaliers,Cleveland Cavaliers,Donovan Mitchell,Vet,4.8,1.2,3.8,1,3.5,4.2,-0.7,30.1,52.0%,15.1,36.6%,47.9%,5.2,66.3%,7.6,85.7%,25.2%,31.2%,6.6,7.6,24.8%,0.4,0.5%,2.2,2.2%,3.5
Cleveland Cavaliers,Cleveland Cavaliers,Evan Mobley,Vet,2.8,1.9,1.6,1.2,2.4,1.7,0.7,19.3,60.0%,5.6,33.9%,29.3%,8.3,75.7%,6.2,72.8%,32.5%,22.8%,14,4.5,13.2%,2.2,2.6%,1.4,1.4%,3
Cleveland Cavaliers,Cleveland Cavaliers,Darius Garland,Vet,2.3,0.1,2.9,-0.5,1.4,2.9,-1.6,26.2,51.9%,11.3,38.8%,41.8%,4.9,61.7%,6.5,87.6%,25.0%,28.9%,4.2,10.9,34.0%,0.2,0.3%,1.8,1.8%,4.2
Cleveland Cavaliers,Cleveland Cavaliers,Jarrett Allen,Vet,1.8,-0.4,0.2,1.6,2.5,0.7,1.9,14.3,67.2%,0.7,23.2%,3.5%,8.3,76.3%,5.9,73.3%,39.4%,17.3%,16.8,3.4,9.4%,1.6,1.8%,1.4,1.4%,1.9
Cleveland Cavaliers,Cleveland Cavaliers,Caris LeVert,Vet,0.9,1.9,0.4,0.5,-1.2,-1.3,0,17.7,49.9%,8.2,35.2%,48.8%,4.9,62.9%,4.5,71.4%,24.1%,19.5%,6.2,7.7,21.9%,0.9,0.9%,1.9,1.9%,2.8
Cleveland Cavaliers,Cleveland Cavaliers,Dean Wade,Vet,0.7,1.2,-0.5,1.2,-0.7,-0.9,0.2,12.5,54.1%,8.9,36.2%,73.1%,1.4,72.1%,1.7,65.6%,13.5%,12.1%,10.2,3.3,9.3%,0.9,1.0%,1.7,1.7%,1.1
Cleveland Cavaliers,Cleveland Cavaliers,Ty Jerome,Vet,0.7,2.4,1,-0.3,1.6,1.4,0.1,20.6,54.1%,9.7,39.2%,47.7%,3.4,60.9%,4.3,88.1%,22.7%,21.6%,5.9,8,23.2%,0.1,0.1%,2.3,2.4%,2.7
Cleveland Cavaliers,Cleveland Cavaliers,Isaac Okoro,Vet,0.2,-0.2,-0.6,0.8,-0.5,-0.9,0.3,14.3,52.5%,8.4,36.0%,57.0%,3.8,64.4%,2.9,70.1%,24.6%,14.7%,5.4,3.7,10.9%,0.8,0.9%,1.8,1.7%,1.6
